Region,count,normalized,Parent structure,Mid-level group,source_sheet,8,allen_id,allen_acronym,allen_name,allen_parent,allen_major_division,allen_cortical_class,is_cortical,is_subcortical,thalamic_group,thalamic_subdivision,allen_path
Field CA2,1,0.0389105058365759,Unknown,Unknown,brain7,,423,CA2,Field CA2,Ammon's horn,Cerebrum,Hippocampal formation,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Hippocampal formation"", ""Hippocampal region"", ""Ammon's horn"", ""Field CA2""]"
Lateral amygdalar nucleus,1,0.0389105058365759,Amygdala,Basolateral complex,brain7,,131,LA,Lateral amygdalar nucleus,Cortical subplate,Cerebrum,,False,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical subplate"", ""Lateral amygdalar nucleus""]"
Lateral habenula,1,0.0389105058365759,Midbrain,Habenula,brain7,,186,LH,Lateral habenula,Epithalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Epithalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Epithalamus"", ""Lateral habenula""]"
Nucleus of the lateral olfactory tract,1,0.0389105058365759,Unknown,Unknown,brain7,,619,NLOT,Nucleus of the lateral olfactory tract,Olfactory areas,Cerebrum,Olfactory areas,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Olfactory areas"", ""Nucleus of the lateral olfactory tract""]"
Olivary pretectal nucleus,1,0.0389105058365759,Unknown,Unknown,brain7,,706,OP,Olivary pretectal nucleus,Pretectal region,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Midbrain"", ""Midbrain, motor related"", ""Pretectal region"", ""Olivary pretectal nucleus""]"
Parafascicular nucleus,1,0.0389105058365759,Thalamus,Intralaminar thalamus,brain7,,930,PF,Parafascicular nucleus,Intralaminar nuclei of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Intralaminar nuclei of the dorsal thalamus"", ""Parafascicular nucleus""]"
Parataenial nucleus,1,0.0389105058365759,Unknown,Unknown,brain7,,15,PT,Parataenial nucleus,Midline group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Midline group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Midline group of the dorsal thalamus"", ""Parataenial nucleus""]"
Perirhinal area,1,0.0389105058365759,Cortex,Olfactory / Piriform cortex,brain7,,922,PERI,Perirhinal area,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Perirhinal area""]"
Posterior amygdalar nucleus,1,0.0389105058365759,Unknown,Unknown,brain7,,780,PA,Posterior amygdalar nucleus,Cortical subplate,Cerebrum,,False,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical subplate"", ""Posterior amygdalar nucleus""]"
Primary auditory area,1,0.0389105058365759,Cortex,Auditory cortex,brain7,,1002,AUDp,Primary auditory area,Auditory areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Auditory areas"", ""Primary auditory area""]"
Subfornical organ,1,0.0389105058365759,Unknown,Unknown,brain7,,338,SFO,Subfornical organ,Periventricular region,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Periventricular region"", ""Subfornical organ""]"
Taenia tecta,1,0.0389105058365759,Cortex,Olfactory / Piriform cortex,brain7,,589,TT,Taenia tecta,Olfactory areas,Cerebrum,Olfactory areas,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Olfactory areas"", ""Taenia tecta""]"
Ventromedial hypothalamic nucleus,1,0.0389105058365759,Hypothalamus,Tuberal region,brain7,,693,VMH,Ventromedial hypothalamic nucleus,Hypothalamic medial zone,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Hypothalamic medial zone"", ""Ventromedial hypothalamic nucleus""]"
Caudoputamen,143,18.1012658227848,Striatum,Dorsal striatum,brain8,,672,CP,Caudoputamen,Striatum dorsal region,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Striatum dorsal region"", ""Caudoputamen""]"
Anterior cingulate area,114,14.4303797468354,Cortex,Prefrontal / Insular cortex,brain8,,31,ACA,Anterior cingulate area,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Anterior cingulate area""]"
Primary somatosensory area,109,13.7974683544304,Cortex,Somatosensory cortex,brain8,,322,SSp,Primary somatosensory area,Somatosensory areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Somatosensory areas"", ""Primary somatosensory area""]"
Secondary motor area,59,7.46835443037975,Cortex,Motor cortex,brain8,,993,MOs,Secondary motor area,Somatomotor areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Somatomotor areas"", ""Secondary motor area""]"
Primary motor area,47,5.94936708860759,Cortex,Motor cortex,brain8,,985,MOp,Primary motor area,Somatomotor areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Somatomotor areas"", ""Primary motor area""]"
Supplemental somatosensory area,45,5.69620253164557,Cortex,Somatosensory cortex,brain8,,378,SSs,Supplemental somatosensory area,Somatosensory areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Somatosensory areas"", ""Supplemental somatosensory area""]"
Dorsal auditory area,39,4.93670886075949,Cortex,Auditory cortex,brain8,,1011,AUDd,Dorsal auditory area,Auditory areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Auditory areas"", ""Dorsal auditory area""]"
Prelimbic area,39,4.93670886075949,Unknown,Unknown,brain8,,972,PL,Prelimbic area,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Prelimbic area""]"
Mediodorsal nucleus of the thalamus,34,4.30379746835443,Thalamus,Medial thalamus,brain8,,362,MD,Mediodorsal nucleus of thalamus,Medial group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Medial group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Medial group of the dorsal thalamus"", ""Mediodorsal nucleus of thalamus""]"
Agranular insular area,16,2.0253164556962,Cortex,Prefrontal / Insular cortex,brain8,,95,AI,Agranular insular area,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Agranular insular area""]"
Infralimbic area,13,1.64556962025316,Cortex,Prefrontal / Insular cortex,brain8,,44,ILA,Infralimbic area,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Infralimbic area""]"
Primary auditory area,9,1.13924050632911,Cortex,Auditory cortex,brain8,,1002,AUDp,Primary auditory area,Auditory areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Auditory areas"", ""Primary auditory area""]"
Temporal association areas,9,1.13924050632911,Cortex,Auditory cortex,brain8,,541,TEa,Temporal association areas,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Temporal association areas""]"
Ventral auditory area,8,1.0126582278481,Cortex,Auditory cortex,brain8,,1018,AUDv,Ventral auditory area,Auditory areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Auditory areas"", ""Ventral auditory area""]"
Globus pallidus,7,0.886075949367089,Pallidum,Globus pallidus,brain8,,1022,GPe,"Globus pallidus, external segment","Pallidum, dorsal region",Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Pallidum"", ""Pallidum, dorsal region"", ""Globus pallidus, external segment""]"
Orbital area,7,0.886075949367089,Cortex,Prefrontal / Insular cortex,brain8,,714,ORB,Orbital area,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Orbital area""]"
Visceral area,7,0.886075949367089,Cortex,Somatosensory cortex,brain8,,677,VISC,Visceral area,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Visceral area""]"
Central medial nucleus of the thalamus,6,0.759493670886076,Unknown,Unknown,brain8,,599,CM,Central medial nucleus of the thalamus,Intralaminar nuclei of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Intralaminar nuclei of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Intralaminar nuclei of the dorsal thalamus"", ""Central medial nucleus of the thalamus""]"
Retrosplenial area,6,0.759493670886076,Cortex,Visual cortex,brain8,,254,RSP,Retrosplenial area,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Retrosplenial area""]"
Anteromedial visual area,5,0.632911392405063,Cortex,Visual cortex,brain8,,394,VISam,Anteromedial visual area,Visual areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Visual areas"", ""Anteromedial visual area""]"
Reticular nucleus of the thalamus,5,0.632911392405063,Thalamus,Reticular thalamus,brain8,,262,RT,Reticular nucleus of the thalamus,"Thalamus, polymodal association cortex related",Brain stem,,False,True,"Thalamus, polymodal association cortex related",Reticular nucleus of the thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Reticular nucleus of the thalamus""]"
Thalamus,5,0.632911392405063,Thalamus,General thalamus,brain8,,549,TH,Thalamus,Interbrain,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus""]"
Dentate gyrus,4,0.506329113924051,Hippocampus,Dentate gyrus,brain8,,726,DG,Dentate gyrus,Hippocampal region,Cerebrum,Hippocampal formation,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Hippocampal formation"", ""Hippocampal region"", ""Dentate gyrus""]"
Anteromedial nucleus,3,0.379746835443038,Thalamus,Intralaminar thalamus,brain8,,127,AM,Anteromedial nucleus,Anterior group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Anterior group of the dorsal thalamus"", ""Anteromedial nucleus""]"
Parasubthalamic nucleus,3,0.379746835443038,Unknown,Unknown,brain8,,364,PSTN,Parasubthalamic nucleus,Hypothalamic lateral zone,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Hypothalamic lateral zone"", ""Parasubthalamic nucleus""]"
Anterior pretectal nucleus,2,0.253164556962025,Midbrain,Colliculi,brain8,,215,APN,Anterior pretectal nucleus,Pretectal region,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Midbrain"", ""Midbrain, motor related"", ""Pretectal region"", ""Anterior pretectal nucleus""]"
Anterolateral visual area,2,0.253164556962025,Cortex,Visual cortex,brain8,,402,VISal,Anterolateral visual area,Visual areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Visual areas"", ""Anterolateral visual area""]"
Basolateral amygdalar nucleus,2,0.253164556962025,Amygdala,Basolateral complex,brain8,,295,BLA,Basolateral amygdalar nucleus,Cortical subplate,Cerebrum,,False,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical subplate"", ""Basolateral amygdalar nucleus""]"
Claustrum,2,0.253164556962025,Cortex,Prefrontal / Insular cortex,brain8,,583,CLA,Claustrum,Cortical subplate,Cerebrum,,False,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical subplate"", ""Claustrum""]"
Lateral hypothalamic area,2,0.253164556962025,Hypothalamus,Lateral hypothalamus,brain8,,194,LHA,Lateral hypothalamic area,Hypothalamic lateral zone,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Hypothalamic lateral zone"", ""Lateral hypothalamic area""]"
Lateral preoptic area,2,0.253164556962025,Hypothalamus,Preoptic region,brain8,,226,LPO,Lateral preoptic area,Hypothalamic lateral zone,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Hypothalamic lateral zone"", ""Lateral preoptic area""]"
Medial preoptic area,2,0.253164556962025,Hypothalamus,Preoptic region,brain8,,523,MPO,Medial preoptic area,Periventricular region,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Periventricular region"", ""Medial preoptic area""]"
Olfactory tubercle,2,0.253164556962025,Striatum,Ventral striatum,brain8,,754,OT,Olfactory tubercle,Striatum ventral region,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Striatum ventral region"", ""Olfactory tubercle""]"
Piriform area,2,0.253164556962025,Cortex,Olfactory / Piriform cortex,brain8,,961,PIR,Piriform area,Olfactory areas,Cerebrum,Olfactory areas,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Olfactory areas"", ""Piriform area""]"
Posterior parietal association areas,2,0.253164556962025,Cortex,Visual cortex,brain8,,22,PTLp,Posterior parietal association areas,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Posterior parietal association areas""]"
Primary visual area,2,0.253164556962025,Cortex,Visual cortex,brain8,,385,VISp,Primary visual area,Visual areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Visual areas"", ""Primary visual area""]"
Substantia innominata,2,0.253164556962025,Striatum,Ventral striatum,brain8,,342,SI,Substantia innominata,"Pallidum, ventral region",Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Pallidum"", ""Pallidum, ventral region"", ""Substantia innominata""]"
Ventral anterior-lateral complex of the thalamus,2,0.253164556962025,Thalamus,Ventral thalamus,brain8,,629,VAL,Ventral anterior-lateral complex of the thalamus,Ventral group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, sensory-motor cortex related"", ""Ventral group of the dorsal thalamus"", ""Ventral anterior-lateral complex of the thalamus""]"
Ventral medial nucleus of the thalamus,2,0.253164556962025,Thalamus,Ventral thalamus,brain8,,685,VM,Ventral medial nucleus of the thalamus,Ventral group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, sensory-motor cortex related"", ""Ventral group of the dorsal thalamus"", ""Ventral medial nucleus of the thalamus""]"
Anterior olfactory nucleus,1,0.126582278481013,Unknown,Unknown,brain8,,159,AON,Anterior olfactory nucleus,Olfactory areas,Cerebrum,Olfactory areas,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Olfactory areas"", ""Anterior olfactory nucleus""]"
Cortical amygdalar area,1,0.126582278481013,Amygdala,Central complex,brain8,,631,COA,Cortical amygdalar area,Olfactory areas,Cerebrum,Olfactory areas,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Olfactory areas"", ""Cortical amygdalar area""]"
Diagonal band nucleus,1,0.126582278481013,Septal area,Septal nuclei,brain8,,596,NDB,Diagonal band nucleus,Medial septal complex,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Pallidum"", ""Pallidum, medial region"", ""Medial septal complex"", ""Diagonal band nucleus""]"
Dorsal part of the lateral geniculate complex,1,0.126582278481013,Thalamus,Geniculate complex,brain8,,170,LGd,Dorsal part of the lateral geniculate complex,"Geniculate group, dorsal thalamus",Brain stem,,False,True,"Thalamus, sensory-motor cortex related","Geniculate group, dorsal thalamus","[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, sensory-motor cortex related"", ""Geniculate group, dorsal thalamus"", ""Dorsal part of the lateral geniculate complex""]"
Ectorhinal area/Layer 1,1,0.126582278481013,Cortex,Olfactory / Piriform cortex,brain8,,836,ECT1,Ectorhinal area/Layer 1,Ectorhinal area,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Ectorhinal area"", ""Ectorhinal area/Layer 1""]"
Field CA3,1,0.126582278481013,Hippocampus,CA fields,brain8,,463,CA3,Field CA3,Ammon's horn,Cerebrum,Hippocampal formation,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Hippocampal formation"", ""Hippocampal region"", ""Ammon's horn"", ""Field CA3""]"
Gustatory areas,1,0.126582278481013,Unknown,Unknown,brain8,,1057,GU,Gustatory areas,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Gustatory areas""]"
Hypothalamus,1,0.126582278481013,Hypothalamus,General hypothalamus,brain8,,1097,HY,Hypothalamus,Interbrain,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus""]"
Lateral dorsal nucleus of thalamus,1,0.126582278481013,Thalamus,Lateral thalamus,brain8,,155,LD,Lateral dorsal nucleus of thalamus,Anterior group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Anterior group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Anterior group of the dorsal thalamus"", ""Lateral dorsal nucleus of thalamus""]"
Lateral habenula,1,0.126582278481013,Midbrain,Habenula,brain8,,186,LH,Lateral habenula,Epithalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Epithalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Epithalamus"", ""Lateral habenula""]"
Magnocellular nucleus,1,0.126582278481013,Hypothalamus,Preoptic region,brain8,,298,MA,Magnocellular nucleus,"Pallidum, ventral region",Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Pallidum"", ""Pallidum, ventral region"", ""Magnocellular nucleus""]"
Medial habenula,1,0.126582278481013,Midbrain,Habenula,brain8,,483,MH,Medial habenula,Epithalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Epithalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Epithalamus"", ""Medial habenula""]"
Medial preoptic nucleus,1,0.126582278481013,Unknown,Unknown,brain8,,515,MPN,Medial preoptic nucleus,Hypothalamic medial zone,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Hypothalamic medial zone"", ""Medial preoptic nucleus""]"
Midbrain,1,0.126582278481013,Midbrain,General midbrain,brain8,,313,MB,Midbrain,Brain stem,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Midbrain""]"
Nucleus accumbens,1,0.126582278481013,Striatum,Ventral striatum,brain8,,56,ACB,Nucleus accumbens,Striatum ventral region,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Striatum ventral region"", ""Nucleus accumbens""]"
Nucleus of reunions,1,0.126582278481013,Thalamus,Medial thalamus,brain8,,181,RE,Nucleus of reuniens,Midline group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, polymodal association cortex related",Midline group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, polymodal association cortex related"", ""Midline group of the dorsal thalamus"", ""Nucleus of reuniens""]"
Subparafascicular nucleus,1,0.126582278481013,Midbrain,Reticular / Miscellaneous,brain8,,406,SPF,Subparafascicular nucleus,"Thalamus, sensory-motor cortex related",Brain stem,,False,True,"Thalamus, sensory-motor cortex related",Subparafascicular nucleus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, sensory-motor cortex related"", ""Subparafascicular nucleus""]"
Subthalamic nucleus,1,0.126582278481013,Unknown,Unknown,brain8,,470,STN,Subthalamic nucleus,Hypothalamic lateral zone,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Hypothalamic lateral zone"", ""Subthalamic nucleus""]"
Ventral posterolateral nucleus of the thalamus,1,0.126582278481013,Unknown,Unknown,brain8,,718,VPL,Ventral posterolateral nucleus of the thalamus,Ventral posterior complex of the thalamus,Brain stem,,False,True,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, sensory-motor cortex related"", ""Ventral group of the dorsal thalamus"", ""Ventral posterior complex of the thalamus"", ""Ventral posterolateral nucleus of the thalamus""]"
Zona incerta,1,0.126582278481013,Hypothalamus,Lateral hypothalamus,brain8,,797,ZI,Zona incerta,Hypothalamic lateral zone,Brain stem,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Hypothalamus"", ""Hypothalamic lateral zone"", ""Zona incerta""]"
Primary somatosensory area,2924,45.1792336217553,Cortex,Somatosensory cortex,brain9,,322,SSp,Primary somatosensory area,Somatosensory areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Somatosensory areas"", ""Primary somatosensory area""]"
Supplemental somatosensory area,909,14.0451174289246,Cortex,Somatosensory cortex,brain9,,378,SSs,Supplemental somatosensory area,Somatosensory areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Somatosensory areas"", ""Supplemental somatosensory area""]"
Primary motor area,758,11.7119901112485,Cortex,Motor cortex,brain9,,985,MOp,Primary motor area,Somatomotor areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Somatomotor areas"", ""Primary motor area""]"
Visceral area,317,4.89802224969098,Cortex,Somatosensory cortex,brain9,,677,VISC,Visceral area,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Visceral area""]"
Agranular insular area,210,3.24474660074166,Cortex,Prefrontal / Insular cortex,brain9,,95,AI,Agranular insular area,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Agranular insular area""]"
Gustatory areas,185,2.85846724351051,Unknown,Unknown,brain9,,1057,GU,Gustatory areas,Isocortex,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Gustatory areas""]"
Ventral anterior-lateral complex of the thalamus,150,2.3176761433869,Thalamus,Ventral thalamus,brain9,,629,VAL,Ventral anterior-lateral complex of the thalamus,Ventral group of the dorsal thalamus,Brain stem,,False,True,"Thalamus, sensory-motor cortex related",Ventral group of the dorsal thalamus,"[""root"", ""Basic cell groups and regions"", ""Brain stem"", ""Interbrain"", ""Thalamus"", ""Thalamus, sensory-motor cortex related"", ""Ventral group of the dorsal thalamus"", ""Ventral anterior-lateral complex of the thalamus""]"
Caudoputamen,132,2.03955500618047,Striatum,Dorsal striatum,brain9,,672,CP,Caudoputamen,Striatum dorsal region,Cerebrum,,False,True,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral nuclei"", ""Striatum"", ""Striatum dorsal region"", ""Caudoputamen""]"
Secondary motor area,98,1.51421508034611,Cortex,Motor cortex,brain9,,993,MOs,Secondary motor area,Somatomotor areas,Cerebrum,Isocortex,True,False,,,"[""root"", ""Basic cell groups and regions"", ""Cerebrum"", ""Cerebral cortex"", ""Cortical plate"", ""Isocortex"", ""Somatomotor areas"", ""Secondary motor area""]"
